0~0~[2026-06-13 17:30:48] Tarefa #2 concluida -- exit: 28 | duracao: 300015ms | falha
[executor_bg] Tarefa #2 concluida -- exit: 28 | duracao: 300015ms | falha
[2026-06-13 17:30:48] Tarefa #2 concluida -- exit: 28 | duracao: 300013ms | falha
[executor_bg] Tarefa #2 concluida -- exit: 28 | duracao: 300013ms | falha
0~0~[2026-06-13 18:56:19] Tarefa #2 concluida -- exit: 28 | duracao: 300013ms | falha
[executor_bg] Tarefa #2 concluida -- exit: 28 | duracao: 300013ms | falha
[2026-06-13 18:56:19] Tarefa #2 concluida -- exit: 28 | duracao: 300014ms | falha
[executor_bg] Tarefa #2 concluida -- exit: 28 | duracao: 300014ms | falha
0~0~[2026-06-14 13:42:19] Tarefa #2 concluida -- exit: 28 | duracao: 300021ms | falha
[executor_bg] Tarefa #2 concluida -- exit: 28 | duracao: 300021ms | falha
[2026-06-14 13:42:19] Tarefa #2 concluida -- exit: 28 | duracao: 300020ms | falha
[executor_bg] Tarefa #2 concluida -- exit: 28 | duracao: 300020ms | falha
